FileName	Channel	Chem	Dose	Cond	Treatm	Name	Group
Cy3_DEP_Perm_Ctrl_Cy5_Perm_Low_253100010033_1_3.txt	Cy3	DEP	Perm	DEP_Ctrl	Ctrl	DEP_Perm_Ctrl_Cy3_rep2	DEPPermCtrl
Cy3_DEP_Perm_Ctrl_Cy5_SDS_PCP_Ctrl_253100010005_2_4.txt	Cy3	DEP	Perm	DEP_Ctrl	Ctrl	DEP_Perm_Ctrl_Cy3_rep3	DEPPermCtrl
Cy3_AA_Lind_Ctrl_Cy5_DEP_Perm_Ctrl_253100010008_1_2.txt	Cy5	DEP	Perm	DEP_Ctrl	Ctrl	DEP_Perm_Ctrl_Cy5_rep1	DEPPermCtrl
Cy3_DEP_High_Cy5_DEP_Perm_Ctrl_253100010017_1_1.txt	Cy5	DEP	Perm	DEP_Ctrl	Ctrl	DEP_Perm_Ctrl_Cy5_rep2	DEPPermCtrl
Cy3_Perm_High_Cy5_DEP_Perm_Ctrl_253100010035_2_1.txt	Cy5	DEP	Perm	DEP_Ctrl	Ctrl	DEP_Perm_Ctrl_Cy5_rep3	DEPPermCtrl
Cy3_DEP_Perm_SC_Cy5_DEP_High_253100010035_2_2.txt	Cy3	DEP	Perm	DEP_SC	SolvC	DEP_Perm_SC_Cy3_rep1	DEPPermSolvC
Cy3_DEP_Perm_SC_Cy5_Perm_High_253100010017_1_2.txt	Cy3	DEP	Perm	DEP_SC	SolvC	DEP_Perm_SC_Cy3_rep2	DEPPermSolvC
Cy3_DEP_Perm_SC_Cy5_SDS_PCP_SC_253100010006_1_1.txt	Cy3	DEP	Perm	DEP_SC	SolvC	DEP_Perm_SC_Cy3_rep3	DEPPermSolvC
Cy3_AA_Lind_SC_Cy5_DEP_Perm_SC_253100010008_1_3.txt	Cy5	DEP	Perm	DEP_SC	SolvC	DEP_Perm_SC_Cy5_rep1	DEPPermSolvC
Cy3_DEP_Low_Cy5_DEP_Perm_SC_253100010033_1_4.txt	Cy5	DEP	Perm	DEP_SC	SolvC	DEP_Perm_SC_Cy5_rep2	DEPPermSolvC
Cy3_Perm_Low_Cy5_DEP_Perm_SC_253100010014_2_4.txt	Cy5	DEP	Perm	DEP_SC	SolvC	DEP_Perm_SC_Cy5_rep3	DEPPermSolvC
Cy3_Dino_High_Cy5_DCP_High_253100010034_1_4.txt	Cy3	Dino	High	Dino_chem	chem	Dino_High_na_Cy3_rep1	DinoHighchem
