File	Channel	Chem	Dose	Treatm	Name
Cy3_SDS_Low_Cy5_PCP_Low_253100010017_2_3.txt	Cy5	PCP	Low	na	PCP_Low_na_Cy5_rep1
Cy3_Perm_Low_Cy5_PCP_Low_253100010018_2_3.txt	Cy5	PCP	Low	na	PCP_Low_na_Cy5_rep2
Cy3_SDS_PCP_Ctrl_Cy5_PCP_Low_253100010033_2_3.txt	Cy5	PCP	Low	na	PCP_Low_na_Cy5_rep3
Cy3_Perm_High_Cy5_DEP_High_253100010009_2_2.txt	Cy3	Perm	High	na	Perm_High_na_Cy3_rep1
Cy3_Perm_High_Cy5_DEP_Perm_Ctrl_253100010035_2_1.txt	Cy3	Perm	High	na	Perm_High_na_Cy3_rep2
Cy3_Perm_High_Cy5_PCP_High_253100010033_2_2.txt	Cy3	Perm	High	na	Perm_High_na_Cy3_rep3
Cy3_Perm_Low_Cy5_Perm_High_253100010006_1_3.txt	Cy5	Perm	High	na	Perm_High_na_Cy5_rep1
Cy3_Lind_High_Cy5_Perm_High_253100010008_2_3.txt	Cy5	Perm	High	na	Perm_High_na_Cy5_rep2
Cy3_DEP_Perm_SC_Cy5_Perm_High_253100010017_1_2.txt	Cy5	Perm	High	na	Perm_High_na_Cy5_rep3
Cy3_Perm_Low_Cy5_DEP_Perm_SC_253100010014_2_4.txt	Cy3	Perm	Low	na	Perm_Low_na_Cy3_rep1
Cy3_Perm_Low_Cy5_PCP_Low_253100010018_2_3.txt	Cy3	Perm	Low	na	Perm_Low_na_Cy3_rep2
Cy3_Perm_Low_Cy5_Perm_High_253100010006_1_3.txt	Cy3	Perm	Low	na	Perm_Low_na_Cy3_rep3
Cy3_Lind_Low_Cy5_Perm_Low_253100010008_2_2.txt	Cy5	Perm	Low	na	Perm_Low_na_Cy5_rep1
